crop,year,season,state,area,production,fertilizer,pesticide,yield
Arecanut,1997,Whole Year ,Assam,73814,56708,7024878.38,22882.34,0.796086957
Arhar/Tur,1997,Kharif     ,Assam,6637,4685,631643.29,2057.47,0.710434783
Castor seed,1997,Kharif     ,Assam,796,22,75755.32,246.76,0.238333333
Coconut ,1997,Whole Year ,Assam,19656,126905000,1870661.52,6093.36,5238.051739
Cotton(lint),1997,Kharif     ,Assam,1739,794,165500.63,539.09,0.420909091
Dry chillies,1997,Whole Year ,Assam,13587,9073,1293074.79,4211.97,0.643636364
Gram,1997,Rabi       ,Assam,2979,1507,283511.43,923.49,0.465454545
Jute,1997,Kharif     ,Assam,94520,904095,8995468.4,29301.2,9.919565217
Linseed,1997,Rabi       ,Assam,10098,5158,961026.66,3130.38,0.461363636
Maize,1997,Kharif     ,Assam,19216,14721,1828786.72,5956.96,0.615652174
Mesta,1997,Kharif     ,Assam,5915,29003,562930.55,1833.65,4.568947368
Niger seed,1997,Whole Year ,Assam,9914,5076,943515.38,3073.34,0.482352941
Onion,1997,Whole Year ,Assam,7832,17943,745371.44,2427.92,2.342608696
Other  Rabi pulses,1997,Rabi       ,Assam,108297,58272,10306625.49,33572.07,0.520869565
Potato,1997,Whole Year ,Assam,75259,671871,7162399.03,23330.29,7.561304348
Rapeseed &Mustard,1997,Rabi       ,Assam,279292,154772,26580219.64,86580.52,0.554782609
Rice,1997,Autumn     ,Assam,607358,398311,57802260.86,188280.98,0.780869565
Rice,1997,Summer     ,Assam,174974,209623,16652275.58,54241.94,1.060434783
Rice,1997,Winter     ,Assam,1743321,1647296,165911859.6,540429.51,0.941304348
Sesamum,1997,Whole Year ,Assam,15765,8257,1500355.05,4887.15,0.487391304
Small millets,1997,Kharif     ,Assam,10490,5391,998333.3,3251.9,0.473
Sugarcane,1997,Kharif     ,Assam,31318,1287451,2980534.06,9708.58,41.89695652
Sweet potato,1997,Whole Year ,Assam,9380,32618,892694.6,2907.8,3.440434783
Tapioca,1997,Whole Year ,Assam,2465,11728,234594.05,764.15,4.41826087
Tobacco,1997,Whole Year ,Assam,433,26,41208.61,134.23,0.38
Turmeric,1997,Whole Year ,Assam,10071,6974,958457.07,3122.01,0.67
Wheat,1997,Rabi       ,Assam,84698,110054,8060708.66,26256.38,1.25952381
Arecanut,1997,Whole Year ,Karnataka,93100,133342,8860327,28861,1.293571429
Arhar/Tur,1997,Kharif     ,Karnataka,421810,98473,40143657.7,130761.1,0.268235294
Bajra,1997,Kharif     ,Karnataka,301149,132056,28660350.33,93356.19,0.404545455
Bajra,1997,Summer     ,Karnataka,820,662,78039.4,254.2,0.81
Black pepper,1997,Kharif     ,Karnataka,3825,924,364025.25,1185.75,0.4375
Cardamom,1997,Whole Year ,Karnataka,21230,1214,2020459.1,6581.3,0.058571429
Coriander,1997,Whole Year ,Karnataka,17317,2853,1648058.89,5368.27,0.121333333
Dry chillies,1997,Kharif     ,Karnataka,186579,139206,17756723.43,57839.49,1.078333333
Dry chillies,1997,Rabi       ,Karnataka,4565,7895,434451.05,1415.15,1.869444444
Garlic,1997,Whole Year ,Karnataka,5061,3799,481655.37,1568.91,1.585
Ginger,1997,Kharif     ,Karnataka,3619,4745,344420.23,1121.89,1.262307692
Groundnut,1997,Kharif     ,Karnataka,847666,525562,80672373.22,262776.46,0.709411765
Groundnut,1997,Rabi       ,Karnataka,192416,181071,18312230.72,59648.96,1.133333333
Horse-gram,1997,Kharif     ,Karnataka,178872,80124,17023248.24,55450.32,0.45
