state,N,P,K,pH
Andhra Pradesh,78,45,22,6.8
Arunachal Pradesh,55,15,35,5.5
Assam,60,18,38,5.8
Bihar,85,30,25,7.2
Chhattisgarh,70,35,20,6.5
Delhi,90,40,30,7.5
Goa,65,25,45,6.2
Gujarat,75,38,28,7.8
Haryana,130,48,35,7.9
Himachal Pradesh,60,20,40,6
Jharkhand,68,22,30,6.1
Jammu and Kashmir,70,25,42,6.7
Karnataka,72,42,25,6.9
Kerala,65,28,50,5.7
Madhya Pradesh,70,40,20,7.4
Maharashtra,75,43,26,7.1
Manipur,58,17,37,5.9
Meghalaya,52,16,33,5.6
Mizoram,54,15,34,5.7
Nagaland,56,16,36,5.8
Odisha,67,26,32,6.3
Puducherry,88,55,40,7
Punjab,150,50,40,8
Sikkim,50,20,30,5.5
Tamil Nadu,80,38,30,6.6
Telangana,77,48,24,7
Tripura,62,20,35,5.9
Uttar Pradesh,120,45,35,7.6
Uttarakhand,80,24,38,6.4
West Bengal,85,40,45,6.2
